neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,square_feet,price,cleaning_fee,review_scores_rating
Mission District,37.75385200146517,-122.41115766043129,Apartment,Private room,2,1.0,1.0,1.0,"{""Cable TV"",""Wireless Internet"",Kitchen,""Elevator in building"",Heating,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer""}",,$77.00,$25.00,100.0
Mission District,37.76251893043086,-122.42428458725807,Apartment,Entire home/apt,4,2.0,2.0,2.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",,$250.00,$150.00,98.0
Mission District,37.76531006688854,-122.42469052470317,Apartment,Entire home/apt,3,1.0,0.0,1.0,"{Internet,""Wireless Internet"",Kitchen,""Smoking allowed"",""Pets allowed"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Laptop friendly workspace""}",,$235.00,$62.00,96.0
Mission District,37.763626659879094,-122.42538534156692,House,Private room,2,1.0,1.0,1.0,"{""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$80.00,$50.00,80.0
Mission District,37.76814060434909,-122.42536756459259,Condominium,Entire home/apt,5,2.0,2.0,3.0,"{TV,Internet,""Wireless Internet"",""Wheelchair accessible"",Kitchen,""Elevator in building"",""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$300.00,$120.00,100.0
Mission District,37.758667648515726,-122.42387997289718,Apartment,Entire home/apt,3,1.0,1.0,2.0,"{TV,""Wireless Internet"",Kitchen,Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",,$200.00,,100.0
Mission District,37.761482053744295,-122.40925392305105,Apartment,Entire home/apt,2,1.0,1.0,1.0,"{TV,""Wireless Internet"",Kitchen,Breakfast,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$200.00,$100.00,95.0
Mission District,37.75399608902932,-122.41770632143594,Apartment,Entire home/apt,2,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",500.0,$125.00,$100.00,93.0
Mission District,37.75328433021465,-122.41185789807965,Apartment,Private room,1,3.0,0.0,1.0,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$40.00,,
Mission District,37.750282609140896,-122.41561941732044,Apartment,Entire home/apt,8,1.0,3.0,3.0,"{TV,""Wireless Internet"",Kitchen,Heating,Essentials,Shampoo}",,$500.00,,
